"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3172","testLogout","Selenium Store Tests","Thu Jun 26 10:05:29 CEST 2025","passed","Thu Jun 26 10:05:32 CEST 2025","seleniumTests.tests.LoginTest","UI Store tests","seleniumTests.tests.LoginTest","testLogout"
"","261","Log in a user successfully","RegressAPITestSuite","Thu Jun 26 10:05:16 CEST 2025","passed","Thu Jun 26 10:05:16 CEST 2025","restAssuredTests.regres.tests.TestUsersMethods","RegressAPI","restAssuredTests.regres.tests.TestUsersMethods","shouldLoginSuccessfully"
"","859","Create a new user successfully","RegressAPITestSuite","Thu Jun 26 10:04:59 CEST 2025","passed","Thu Jun 26 10:05:00 CEST 2025","restAssuredTests.regres.tests.TestUsersMethods","RegressAPI","restAssuredTests.regres.tests.TestUsersMethods","shouldCreateUser"
"","21","testTitle","Selenium Store Tests","Thu Jun 26 10:05:32 CEST 2025","passed","Thu Jun 26 10:05:32 CEST 2025","seleniumTests.tests.TestProductsPageMethods","UI Store tests","seleniumTests.tests.TestProductsPageMethods","testTitle"
"","487","Measure response time on Production environment without link resolving","Response Times of SWS Tests","Thu Jun 26 10:06:00 CEST 2025","passed","Thu Jun 26 10:06:00 CEST 2025","restAssuredTests.responseTimes.tests.SWS_Response_Times","Measure the speed of SWS","restAssuredTests.responseTimes.tests.SWS_Response_Times","testProductionsWithoutLInkResolving"
"","1121","testSearchBarJeans","Selenium Store Tests","Thu Jun 26 10:05:31 CEST 2025","passed","Thu Jun 26 10:05:32 CEST 2025","seleniumTests.tests.TestProductsPageMethods","UI Store tests","seleniumTests.tests.TestProductsPageMethods","testSearchBarJeans"
"","237","Handle 404 for non-existing resource","RegressAPITestSuite","Thu Jun 26 10:05:01 CEST 2025","passed","Thu Jun 26 10:05:01 CEST 2025","restAssuredTests.regres.tests.TestResources","RegressAPI","restAssuredTests.regres.tests.TestResources","shouldReturnNonExistingResource2"
"","1414","testMenuItems","Selenium Store Tests","Thu Jun 26 10:05:37 CEST 2025","passed","Thu Jun 26 10:05:38 CEST 2025","seleniumTests.tests.TestHomePage","UI Store tests","seleniumTests.tests.TestHomePage","testMenuItems"
"","52","Validate per page, total, and total_pages values","RegressAPITestSuite","Thu Jun 26 10:05:00 CEST 2025","passed","Thu Jun 26 10:05:00 CEST 2025","restAssuredTests.regres.tests.TestResources","RegressAPI","restAssuredTests.regres.tests.TestResources","shouldReturnCorrectResourcePageValues"
"","209","Partially update a user's job title","RegressAPITestSuite","Thu Jun 26 10:05:16 CEST 2025","passed","Thu Jun 26 10:05:16 CEST 2025","restAssuredTests.regres.tests.TestUsersMethods","RegressAPI","restAssuredTests.regres.tests.TestUsersMethods","shouldPartiallyUpdateUser"
"","3708","Measure response time on Test environment with link resolving","Response Times of SWS Tests","Thu Jun 26 10:05:49 CEST 2025","passed","Thu Jun 26 10:05:53 CEST 2025","restAssuredTests.responseTimes.tests.SWS_Response_Times","Measure the speed of SWS","restAssuredTests.responseTimes.tests.SWS_Response_Times","testFunctestWithLInkResolving"
